date,kvwiki (100+),kvwiki (5+),kvwiki (all)
2015/09/03,1,4,8
2015/09/04,1,3,7
2015/09/05,1,3,7
2015/09/06,1,3,7
2015/09/07,1,2,6
2015/09/08,1,1,6
2015/09/09,1,1,5
2015/09/10,1,1,5
2015/09/11,1,1,5
2015/09/12,1,1,5
2015/09/13,1,1,5
2015/09/14,1,1,5
2015/09/15,1,1,4
2015/09/16,,1,4
2015/09/17,,1,4
2015/09/18,,1,5
2015/09/19,,2,5
2015/09/20,,2,5
2015/09/21,,2,5
2015/09/22,,2,5
2015/09/23,,2,5
2015/09/24,,2,5
2015/09/25,,2,5
2015/09/26,,3,6
2015/09/27,,3,6
2015/09/28,,3,5
2015/09/29,,3,5
2015/09/30,,3,5
2015/10/01,,3,5
2015/10/02,,3,6
2015/10/03,,3,6
2015/10/04,,3,6
2015/10/05,,3,7
2015/10/06,1,3,7
2015/10/07,1,3,7
2015/10/08,1,3,8
2015/10/09,1,3,8
2015/10/10,1,3,9
2015/10/11,1,4,9
2015/10/12,1,4,9
2015/10/13,1,4,9
2015/10/14,1,4,9
2015/10/15,1,4,9
2015/10/16,1,4,9
2015/10/17,1,4,8
2015/10/18,1,4,8
2015/10/19,1,3,10
2015/10/20,1,3,10
2015/10/21,1,3,9
2015/10/22,1,3,9
2015/10/23,1,3,9
2015/10/24,1,3,10
2015/10/25,1,3,10
2015/10/26,1,2,9
2015/10/27,1,2,9
2015/10/28,1,2,9
2015/10/29,1,2,8
2015/10/30,1,2,8
2015/10/31,1,2,8
2015/11/01,1,2,8
2015/11/02,1,2,8
2015/11/03,1,2,7
2015/11/04,1,2,7
2015/11/05,1,2,8
2015/11/06,1,2,8
2015/11/07,1,2,7
2015/11/08,1,2,7
2015/11/09,1,2,7
2015/11/10,1,2,7
2015/11/11,1,3,7
2015/11/12,1,3,7
2015/11/13,1,3,8
2015/11/14,1,3,8
2015/11/15,1,3,8
2015/11/16,1,3,8
2015/11/17,1,3,8
2015/11/18,1,3,7
2015/11/19,1,3,7
2015/11/20,1,3,7
2015/11/21,1,3,7
2015/11/22,1,4,7
2015/11/23,1,4,8
2015/11/24,1,4,7
2015/11/25,1,4,7
2015/11/26,1,4,7
2015/11/27,1,4,9
2015/11/28,1,4,9
2015/11/29,1,4,9
2015/11/30,1,4,9
2015/12/01,,4,9
2015/12/02,,4,9
2015/12/03,,4,9
2015/12/04,,4,9
2015/12/05,,4,9
2015/12/06,,4,10
2015/12/07,,4,9
2015/12/08,,4,9
2015/12/09,,4,9
2015/12/10,,4,9
2015/12/11,,2,8
2015/12/12,,2,8
2015/12/13,,2,7
2015/12/14,,2,7
2015/12/15,,2,9
2015/12/16,,1,9
2015/12/17,,3,10
2016/01/18,,3,10
2016/01/19,,3,11
2016/01/20,,2,11
2016/01/21,,2,11
2016/01/22,,2,10
2016/01/23,,2,9
2016/01/24,,2,9
2016/01/25,,2,9
2016/01/26,,2,9
2016/01/27,,2,9
2016/01/28,,2,9
2016/01/29,,2,9
2016/01/30,,2,9
2016/01/31,,3,10
2016/02/01,,3,12
2016/02/02,,3,12
2016/02/03,,3,12
2016/02/04,,3,12
2016/02/05,,3,12
2016/02/06,,3,13
2016/02/07,,3,11
2016/02/08,,4,10
2016/02/09,,4,11
2016/02/10,,3,11
2016/02/11,,2,11
2016/02/12,,2,12
2016/02/13,,2,12
2016/02/14,,2,12
2016/02/15,,2,11
2016/02/16,,2,11
2016/02/17,,2,11
2016/02/18,,2,11
2016/02/19,,2,12
2016/02/20,,2,13
2016/02/21,,2,13
2016/02/22,,2,13
2016/02/23,,2,13
2016/02/24,,2,13
2016/02/25,,2,13
2016/02/26,,2,13
2016/02/27,,2,13
2016/02/28,,2,13
2016/02/29,,2,13
2016/03/01,,1,12
2016/03/02,,1,11
2016/03/03,,1,11
2016/03/04,,1,11
2016/03/05,,1,12
2016/03/06,,1,13
2016/03/07,,1,12
2016/03/08,,1,12
2016/03/09,,1,11
2016/03/10,,1,10
2016/03/11,,1,11
2016/03/12,,1,11
2016/03/13,,1,10
2016/03/14,,2,11
2016/03/15,,2,12
2016/03/16,,3,12
2016/03/17,,4,13
2016/03/18,,4,13
2016/03/19,,3,13
2016/03/20,,3,12
2016/03/21,,3,12
2016/03/22,,3,11
2016/03/23,,4,11
2016/03/24,,4,11
2016/03/25,,4,11
2016/03/26,,4,11
2016/03/27,,3,11
2016/03/28,,3,11
2016/03/29,,3,11
2016/03/30,,3,11
2016/03/31,,3,11
2016/04/01,,3,11
2016/04/02,,3,11
2016/04/03,,3,11
2016/04/04,,3,10
2016/04/05,,3,9
2016/04/06,,3,9
2016/04/07,,3,9
2016/04/08,,3,9
2016/04/09,,3,9
2016/04/10,,3,7
2016/04/11,,3,7
2016/04/12,,3,8
2016/04/13,,2,8
2016/04/14,,1,8
2016/04/15,,1,8
2016/04/16,,1,9
2016/04/17,,1,9
2016/04/18,,1,9
2016/04/19,,1,9
2016/04/20,,1,8
2016/04/21,,1,8
2016/04/22,,2,8
2016/04/23,,2,8
2016/04/24,,2,8
2016/04/25,,2,9
2016/04/26,,2,9
2016/04/27,,2,9
2016/04/28,,2,9
2016/04/29,,2,9
2016/04/30,,2,9
2016/05/01,,2,9
2016/05/02,,2,9
2016/05/03,,2,9
2016/05/04,,2,9
2016/05/05,,2,10
2016/05/06,,2,10
2016/05/07,,2,10
2016/05/08,,2,10
2016/05/09,,2,11
2016/05/10,,2,11
2016/05/11,,2,11
2016/05/12,,2,10
2016/05/13,,2,10
2016/05/14,,2,10
2016/05/15,,2,10
2016/05/16,,2,7
2016/05/17,,2,8
2016/05/18,,2,8
2016/05/19,,2,8
2016/05/20,,2,8
2016/05/21,,2,9
2016/05/22,,2,9
2016/05/23,,2,9
2016/05/24,,2,9
2016/05/25,,2,8
2016/05/26,,2,8
2016/05/27,,2,8
2016/05/28,1,2,8
2016/05/29,1,2,8
2016/05/30,1,2,9
2016/05/31,1,2,9
2016/06/01,1,2,9
2016/06/02,1,1,9
2016/06/03,1,1,10
2016/06/04,1,1,9
2016/06/05,1,1,10
2016/06/06,1,1,10
2016/06/07,1,1,11
2016/06/08,1,1,10
2016/06/09,1,1,10
2016/06/10,1,1,10
2016/06/11,1,1,10
2016/06/12,1,1,11
2016/06/13,1,1,11
2016/06/14,1,1,11
2016/06/15,1,1,11
2016/06/16,1,2,10
2016/06/17,1,2,10
2016/06/18,1,2,10
2016/06/19,1,2,10
2016/06/20,1,2,9
2016/06/21,1,2,9
2016/06/22,1,2,9
2016/06/23,1,2,9
2016/06/24,1,2,9
2016/06/25,1,2,9
2016/06/26,1,2,9
2016/06/27,1,2,9
2016/06/28,1,2,9
2016/06/29,1,2,8
2016/06/30,1,2,9
2016/07/01,1,3,10
2016/07/02,1,3,10
2016/07/03,1,3,9
2016/07/04,1,3,9
2016/07/05,1,3,9
2016/07/06,1,3,8
2016/07/07,1,3,7
2016/07/08,1,3,7
2016/07/09,1,3,8
2016/07/10,1,4,10
2016/07/11,1,4,10
2016/07/12,1,4,10
2016/07/13,1,4,10
2016/07/14,1,4,10
2016/07/15,1,4,12
2016/07/16,1,3,12
2016/07/17,1,3,11
2016/07/18,1,3,11
2016/07/19,1,3,11
2016/07/20,1,3,11
2016/07/21,1,3,11
2016/07/22,1,3,12
2016/07/23,1,3,12
2016/07/24,,3,12
