date,jawiki (100+),jawiki (5+),jawiki (all)
2015/03/06,399,4361,11941
2015/03/07,391,4370,11948
2015/03/08,395,4383,11974
2015/03/09,389,4405,12041
2015/03/10,381,4386,12030
2015/03/11,380,4364,12032
2015/03/12,386,4380,12080
2015/03/13,392,4357,12096
2015/03/14,386,4369,12084
2015/03/15,396,4420,12094
2015/03/16,395,4450,12148
2015/03/17,391,4447,12133
2015/03/18,395,4420,12127
2015/03/19,394,4439,12134
2015/03/20,409,4430,12174
2015/03/21,403,4411,12177
2015/03/22,400,4452,12233
2015/03/23,394,4474,12275
2015/03/24,402,4490,12310
2015/03/25,404,4479,12268
2015/03/26,400,4487,12253
2015/03/27,392,4522,12262
2015/03/28,386,4541,12264
2015/03/29,393,4554,12294
2015/03/30,401,4593,12347
2015/03/31,399,4603,12354
2015/04/01,405,4619,12359
2015/04/02,409,4662,12397
2015/04/03,412,4673,12467
2015/04/04,417,4665,12491
2015/04/05,412,4694,12518
2015/04/06,418,4728,12546
2015/04/07,412,4738,12584
2015/04/08,425,4722,12540
2015/04/09,431,4734,12497
2015/04/10,428,4733,12462
2015/04/11,432,4742,12391
2015/04/12,437,4757,12405
2015/04/13,431,4770,12408
2015/04/14,431,4735,12379
2015/04/15,435,4705,12356
2015/04/16,436,4687,12316
2015/04/17,433,4681,12294
2015/04/18,428,4712,12317
2015/04/19,423,4695,12335
2015/04/20,427,4724,12362
2015/04/21,420,4717,12380
2015/04/22,419,4685,12383
2015/04/23,418,4677,12368
2015/04/24,407,4658,12368
2015/04/25,405,4657,12338
2015/04/26,405,4637,12293
2015/04/27,404,4644,12299
2015/04/28,404,4666,12278
2015/04/29,401,4629,12231
2015/04/30,401,4620,12239
2015/05/01,391,4598,12149
2015/05/02,385,4550,12058
2015/05/03,383,4543,12073
2015/05/04,386,4547,12073
2015/05/05,389,4560,12062
2015/05/06,386,4577,12062
2015/05/07,389,4598,12056
2015/05/08,387,4604,12060
2015/05/09,386,4596,12041
2015/05/10,386,4610,12102
2015/05/11,396,4624,12097
2015/05/12,388,4613,12104
2015/05/13,400,4606,12075
2015/05/14,402,4614,12090
2015/05/15,398,4628,12074
2015/05/16,407,4615,12080
2015/05/17,407,4647,12086
2015/05/18,406,4642,12037
2015/05/19,399,4624,12055
2015/05/20,389,4620,12026
2015/05/21,388,4646,12021
2015/05/22,385,4650,12029
2015/05/23,380,4626,11978
2015/05/24,381,4643,11961
2015/05/25,384,4655,11982
2015/05/26,379,4639,11986
2015/05/27,377,4626,11943
2015/05/28,376,4590,11950
2015/05/29,372,4585,11962
2015/05/30,369,4576,11903
2015/05/31,370,4575,11925
2015/06/01,368,4563,11921
2015/06/02,364,4527,11900
2015/06/03,364,4495,11861
2015/06/04,364,4458,11835
2015/06/05,360,4421,11760
2015/06/06,352,4361,11682
2015/06/07,360,4352,11669
2015/06/08,354,4359,11650
2015/06/09,357,4350,11601
2015/06/10,348,4334,11562
2015/06/11,350,4329,11553
2015/06/12,357,4328,11556
2015/06/13,348,4312,11547
2015/06/14,352,4317,11552
2015/06/15,350,4345,11593
2015/06/16,351,4322,11616
2015/06/17,352,4281,11595
2015/06/18,355,4285,11574
2015/06/19,356,4288,11569
2015/06/20,354,4283,11518
2015/06/21,356,4281,11522
2015/06/22,359,4310,11562
2015/06/23,358,4275,11566
2015/06/24,346,4248,11549
2015/06/25,347,4261,11558
2015/06/26,351,4294,11569
2015/06/27,350,4289,11546
2015/06/28,350,4287,11566
2015/06/29,358,4311,11572
2015/06/30,355,4305,11521
2015/07/01,353,4281,11477
2015/07/02,352,4299,11476
2015/07/03,356,4312,11482
2015/07/04,362,4332,11519
2015/07/05,368,4340,11555
2015/07/06,370,4368,11583
2015/07/07,364,4349,11597
2015/07/08,360,4303,11576
2015/07/09,363,4293,11598
2015/07/10,361,4305,11611
2015/07/11,362,4318,11596
2015/07/12,364,4331,11567
2015/07/13,370,4364,11589
2015/07/14,367,4315,11572
2015/07/15,366,4291,11536
2015/07/16,370,4283,11526
2015/07/17,372,4290,11498
2015/07/18,373,4293,11499
2015/07/19,378,4311,11520
2015/07/20,379,4326,11596
2015/07/21,385,4332,11588
2015/07/22,380,4303,11549
2015/07/23,377,4303,11578
2015/07/24,372,4309,11576
2015/07/25,370,4294,11551
2015/07/26,373,4281,11527
2015/07/27,368,4281,11528
2015/07/28,360,4268,11529
2015/07/29,357,4255,11533
2015/07/30,359,4253,11520
2015/07/31,356,4258,11538
2015/08/01,364,4263,11526
2015/08/02,363,4262,11513
2015/08/03,358,4248,11479
2015/08/04,350,4244,11461
2015/08/05,343,4248,11434
2015/08/06,344,4247,11427
2015/08/07,346,4264,11414
2015/08/08,343,4265,11371
2015/08/09,346,4281,11354
2015/08/10,347,4303,11375
2015/08/11,353,4285,11410
2015/08/12,356,4262,11389
2015/08/13,349,4279,11403
2015/08/14,350,4268,11388
2015/08/15,354,4275,11399
2015/08/16,350,4299,11402
2015/08/17,357,4316,11384
2015/08/18,355,4306,11408
2015/08/19,347,4280,11390
2015/08/20,347,4261,11360
2015/08/21,354,4286,11375
2015/08/22,357,4325,11334
2015/08/23,362,4313,11363
2015/08/24,363,4343,11365
2015/08/25,358,4350,11397
2015/08/26,358,4347,11382
2015/08/27,360,4369,11415
2015/08/28,353,4362,11419
2015/08/29,358,4371,11452
2015/08/30,360,4379,11470
2015/08/31,358,4374,11520
2015/09/01,363,4376,11564
2015/09/02,368,4370,11586
2015/09/03,376,4374,11573
2015/09/04,372,4372,11599
2015/09/05,373,4381,11571
2015/09/06,381,4402,11596
2015/09/07,386,4416,11626
2015/09/08,387,4413,11671
2015/09/09,388,4409,11674
2015/09/10,391,4418,11681
2015/09/11,394,4393,11638
2015/09/12,393,4388,11615
2015/09/13,387,4393,11644
2015/09/14,390,4385,11652
2015/09/15,394,4368,11648
2015/09/16,388,4334,11597
2015/09/17,386,4332,11536
2015/09/18,399,4350,11510
2015/09/19,400,4370,11518
2015/09/20,399,4370,11498
2015/09/21,393,4354,11518
2015/09/22,389,4343,11511
2015/09/23,386,4357,11544
2015/09/24,388,4357,11562
2015/09/25,386,4365,11582
2015/09/26,387,4350,11566
2015/09/27,383,4380,11578
2015/09/28,389,4369,11559
2015/09/29,384,4358,11528
2015/09/30,380,4344,11487
2015/10/01,375,4330,11446
2015/10/02,384,4343,11462
2015/10/03,385,4358,11455
2015/10/04,378,4373,11480
2015/10/05,382,4377,11486
2015/10/06,382,4395,11491
2015/10/07,376,4395,11496
2015/10/08,383,4406,11497
2015/10/09,382,4403,11490
2015/10/10,389,4388,11430
2015/10/11,388,4388,11465
2015/10/12,396,4399,11494
2015/10/13,402,4404,11539
2015/10/14,401,4408,11524
2015/10/15,394,4431,11523
2015/10/16,398,4448,11578
2015/10/17,394,4460,11607
2015/10/18,396,4491,11653
2015/10/19,392,4491,11626
2015/10/20,391,4481,11628
2015/10/21,394,4486,11601
2015/10/22,399,4472,11613
2015/10/23,394,4430,11594
2015/10/24,394,4411,11560
2015/10/25,394,4411,11556
2015/10/26,403,4429,11552
2015/10/27,401,4382,11510
2015/10/28,395,4373,11481
2015/10/29,397,4373,11490
2015/10/30,396,4358,11489
2015/10/31,395,4365,11516
2015/11/01,396,4365,11492
2015/11/02,399,4362,11482
2015/11/03,396,4364,11471
2015/11/04,405,4387,11505
2015/11/05,408,4353,11514
2015/11/06,402,4367,11464
2015/11/07,403,4368,11436
2015/11/08,407,4387,11439
2015/11/09,409,4394,11497
2015/11/10,404,4382,11507
2015/11/11,402,4388,11535
2015/11/12,398,4373,11480
2015/11/13,401,4381,11488
2015/11/14,399,4366,11468
2015/11/15,403,4404,11470
2015/11/16,408,4396,11514
2015/11/17,412,4400,11482
2015/11/18,402,4392,11484
2015/11/19,412,4381,11512
2015/11/20,415,4392,11571
2015/11/21,417,4417,11585
2015/11/22,422,4443,11633
2015/11/23,422,4459,11681
2015/11/24,423,4492,11742
2015/11/25,414,4506,11770
2015/11/26,413,4531,11844
2015/11/27,414,4528,11826
2015/11/28,415,4511,11847
2015/11/29,412,4526,11859
2015/11/30,411,4530,11905
2015/12/01,411,4520,11904
2015/12/02,406,4509,11969
2015/12/03,403,4508,12008
2015/12/04,398,4479,11989
2015/12/05,395,4466,12032
2015/12/06,398,4487,12034
2015/12/07,395,4479,12062
2015/12/08,390,4455,12021
2015/12/09,396,4454,11967
2015/12/10,400,4474,11962
2015/12/11,399,4451,11945
2015/12/12,399,4441,11925
2015/12/13,396,4452,11948
2015/12/14,404,4478,12015
2015/12/15,402,4475,11985
2015/12/16,398,4447,11971
2015/12/17,398,4444,11963
2016/01/18,379,4593,12141
2016/01/19,371,4588,12153
2016/01/20,369,4604,12158
2016/01/21,367,4568,12155
2016/01/22,368,4577,12145
2016/01/23,363,4557,12104
2016/01/24,369,4574,12163
2016/01/25,388,4614,12209
2016/01/26,386,4620,12213
2016/01/27,383,4625,12211
2016/01/28,387,4623,12234
2016/01/29,383,4602,12239
2016/01/30,386,4605,12249
2016/01/31,389,4628,12289
2016/02/01,397,4646,12349
2016/02/02,397,4661,12354
2016/02/03,397,4639,12291
2016/02/04,397,4619,12265
2016/02/05,400,4619,12246
2016/02/06,400,4613,12163
2016/02/07,401,4619,12192
2016/02/08,413,4629,12213
2016/02/09,410,4615,12209
2016/02/10,403,4606,12221
2016/02/11,397,4568,12166
2016/02/12,403,4588,12207
2016/02/13,408,4595,12207
2016/02/14,405,4629,12228
2016/02/15,411,4662,12303
2016/02/16,412,4625,12301
2016/02/17,402,4624,12296
2016/02/18,396,4628,12286
2016/02/19,400,4625,12321
2016/02/20,402,4654,12383
2016/02/21,406,4676,12447
2016/02/22,412,4709,12483
2016/02/23,409,4708,12456
2016/02/24,393,4688,12437
2016/02/25,386,4686,12422
2016/02/26,388,4670,12359
2016/02/27,385,4671,12302
2016/02/28,385,4684,12289
2016/02/29,383,4695,12316
2016/03/01,380,4683,12305
2016/03/02,378,4666,12284
2016/03/03,372,4661,12236
2016/03/04,370,4669,12257
2016/03/05,378,4666,12257
2016/03/06,379,4686,12242
2016/03/07,378,4704,12300
2016/03/08,379,4688,12316
2016/03/09,376,4668,12303
2016/03/10,371,4652,12312
2016/03/11,377,4651,12298
2016/03/12,378,4655,12303
2016/03/13,386,4648,12289
2016/03/14,396,4658,12324
2016/03/15,399,4644,12317
2016/03/16,397,4616,12202
2016/03/17,392,4638,12159
2016/03/18,396,4632,12144
2016/03/19,395,4641,12174
2016/03/20,398,4665,12205
2016/03/21,405,4669,12182
2016/03/22,401,4664,12197
2016/03/23,396,4653,12166
2016/03/24,406,4634,12185
2016/03/25,416,4633,12174
2016/03/26,419,4640,12235
2016/03/27,420,4675,12303
2016/03/28,424,4687,12363
2016/03/29,422,4700,12418
2016/03/30,416,4714,12441
2016/03/31,413,4728,12491
2016/04/01,416,4746,12554
2016/04/02,416,4781,12593
2016/04/03,422,4791,12653
2016/04/04,423,4829,12707
2016/04/05,421,4831,12797
2016/04/06,427,4835,12804
2016/04/07,424,4852,12861
2016/04/08,424,4859,12852
2016/04/09,435,4856,12855
2016/04/10,428,4889,12885
2016/04/11,424,4888,12901
2016/04/12,423,4882,12898
2016/04/13,422,4869,12884
2016/04/14,420,4857,12900
2016/04/15,421,4858,12904
2016/04/16,417,4855,12911
2016/04/17,419,4857,12947
2016/04/18,418,4868,12948
2016/04/19,415,4829,12910
2016/04/20,410,4803,12862
2016/04/21,411,4768,12816
2016/04/22,406,4726,12796
2016/04/23,397,4722,12771
2016/04/24,392,4708,12761
2016/04/25,396,4712,12780
2016/04/26,396,4681,12715
2016/04/27,384,4639,12630
2016/04/28,382,4614,12596
2016/04/29,386,4569,12528
2016/04/30,384,4574,12462
2016/05/01,385,4550,12430
2016/05/02,384,4549,12439
2016/05/03,384,4526,12410
2016/05/04,380,4521,12420
2016/05/05,377,4534,12334
2016/05/06,382,4538,12290
2016/05/07,388,4546,12258
2016/05/08,387,4553,12221
2016/05/09,391,4571,12218
2016/05/10,383,4558,12154
2016/05/11,386,4530,12098
2016/05/12,382,4518,12075
2016/05/13,383,4513,12081
2016/05/14,382,4489,12044
2016/05/15,382,4510,12037
2016/05/16,382,4515,12045
2016/05/17,369,4522,12022
2016/05/18,363,4528,11986
2016/05/19,359,4515,11972
2016/05/20,360,4528,12010
2016/05/21,361,4518,11980
2016/05/22,369,4520,11996
2016/05/23,377,4550,12053
2016/05/24,380,4577,12100
2016/05/25,376,4539,12048
2016/05/26,377,4545,12018
2016/05/27,377,4552,12007
2016/05/28,369,4542,12034
2016/05/29,369,4545,12057
2016/05/30,370,4515,12072
2016/05/31,365,4478,12019
2016/06/01,359,4445,11968
2016/06/02,355,4417,11913
2016/06/03,363,4376,11833
2016/06/04,360,4337,11802
2016/06/05,364,4296,11776
2016/06/06,375,4284,11734
2016/06/07,372,4259,11721
2016/06/08,371,4214,11683
2016/06/09,365,4208,11679
2016/06/10,364,4212,11735
2016/06/11,364,4224,11742
2016/06/12,370,4239,11782
2016/06/13,377,4253,11837
2016/06/14,375,4251,11854
2016/06/15,366,4245,11839
2016/06/16,365,4247,11818
2016/06/17,368,4234,11808
2016/06/18,365,4238,11802
2016/06/19,356,4227,11819
2016/06/20,362,4250,11835
2016/06/21,363,4235,11870
2016/06/22,360,4236,11825
2016/06/23,357,4220,11835
2016/06/24,362,4229,11856
2016/06/25,366,4250,11880
2016/06/26,358,4261,11930
2016/06/27,360,4276,11893
2016/06/28,360,4257,11890
2016/06/29,361,4252,11863
2016/06/30,355,4255,11894
2016/07/01,360,4279,11918
2016/07/02,364,4293,11927
2016/07/03,372,4326,11957
2016/07/04,375,4348,11981
2016/07/05,367,4354,12010
2016/07/06,362,4342,12017
2016/07/07,362,4331,11990
2016/07/08,360,4323,11941
2016/07/09,368,4314,11973
2016/07/10,370,4335,11981
2016/07/11,367,4346,11955
2016/07/12,365,4324,11946
2016/07/13,360,4326,11930
2016/07/14,355,4316,11916
2016/07/15,356,4319,11901
2016/07/16,359,4318,11929
2016/07/17,358,4346,11926
2016/07/18,357,4360,11943
2016/07/19,355,4378,12003
2016/07/20,354,4375,11965
2016/07/21,359,4374,11950
2016/07/22,362,4371,11923
2016/07/23,354,4377,11876
2016/07/24,356,4385,11858
2016/07/25,361,4387,11847
2016/07/26,351,4357,11805
2016/07/27,349,4350,11805
2016/07/28,343,4348,11824
2016/07/29,338,4375,11855
2016/07/30,339,4359,11839
2016/07/31,343,4365,11815
2016/08/01,344,4366,11823
2016/08/02,341,4352,11818
2016/08/03,343,4360,11844
2016/08/04,346,4391,11881
2016/08/05,344,4377,11894
2016/08/06,337,4364,11887
2016/08/07,349,4354,11865
2016/08/08,352,4361,11875
2016/08/09,344,4333,11832
2016/08/10,349,4341,11867
2016/08/11,343,4366,11842
2016/08/12,341,4369,11829
2016/08/13,340,4378,11826
2016/08/14,345,4395,11806
2016/08/15,343,4394,11799
2016/08/16,346,4389,11832
2016/08/17,349,4378,11872
2016/08/18,351,4392,11864
2016/08/19,351,4389,11935
2016/08/20,346,4380,11937
2016/08/21,339,4397,11946
2016/08/22,343,4423,11973
2016/08/23,347,4438,12042
2016/08/24,350,4474,12135
2016/08/25,345,4478,12206
2016/08/26,339,4506,12339
2016/08/27,345,4535,12416
2016/08/28,342,4537,12447
2016/08/29,343,4569,12497
2016/08/30,347,4595,12578
2016/08/31,343,4595,12600
2016/09/01,349,4616,12623
2016/09/02,349,4610,12644
2016/09/03,352,4598,12580
2016/09/04,351,4579,12575
2016/09/05,355,4606,12640
2016/09/06,359,4623,12674
2016/09/07,352,4617,12692
